"timeframe","group","segment","year","category","metric","value"
"mid-year","hunt","All",2009,"All","participants",171658
"mid-year","hunt","All",2010,"All","participants",161629
"mid-year","hunt","All",2011,"All","participants",153678
"mid-year","hunt","All",2012,"All","participants",152113
"mid-year","hunt","All",2013,"All","participants",149271
"mid-year","hunt","All",2014,"All","participants",141543
"mid-year","hunt","All",2015,"All","participants",142637
"mid-year","hunt","Residency",2009,"Resident","participants",166635
"mid-year","hunt","Residency",2010,"Resident","participants",156631
"mid-year","hunt","Residency",2011,"Resident","participants",148859
"mid-year","hunt","Residency",2012,"Resident","participants",147566
"mid-year","hunt","Residency",2013,"Resident","participants",144519
"mid-year","hunt","Residency",2014,"Resident","participants",137121
"mid-year","hunt","Residency",2015,"Resident","participants",137836
"mid-year","hunt","Residency",2009,"Nonresident","participants",5023
"mid-year","hunt","Residency",2010,"Nonresident","participants",4998
"mid-year","hunt","Residency",2011,"Nonresident","participants",4819
"mid-year","hunt","Residency",2012,"Nonresident","participants",4547
"mid-year","hunt","Residency",2013,"Nonresident","participants",4752
"mid-year","hunt","Residency",2014,"Nonresident","participants",4422
"mid-year","hunt","Residency",2015,"Nonresident","participants",4801
"mid-year","hunt","Gender",2009,"Male","participants",160179
"mid-year","hunt","Gender",2010,"Male","participants",150537
"mid-year","hunt","Gender",2011,"Male","participants",142862
"mid-year","hunt","Gender",2012,"Male","participants",141093
"mid-year","hunt","Gender",2013,"Male","participants",138252
"mid-year","hunt","Gender",2014,"Male","participants",130633
"mid-year","hunt","Gender",2015,"Male","participants",131053
"mid-year","hunt","Gender",2009,"Female","participants",11479
"mid-year","hunt","Gender",2010,"Female","participants",11092
"mid-year","hunt","Gender",2011,"Female","participants",10816
"mid-year","hunt","Gender",2012,"Female","participants",11020
"mid-year","hunt","Gender",2013,"Female","participants",11019
"mid-year","hunt","Gender",2014,"Female","participants",10910
"mid-year","hunt","Gender",2015,"Female","participants",11584
"mid-year","hunt","Age",2009,"18-24","participants",16804
"mid-year","hunt","Age",2010,"18-24","participants",16286
"mid-year","hunt","Age",2011,"18-24","participants",15338
"mid-year","hunt","Age",2012,"18-24","participants",15497
"mid-year","hunt","Age",2013,"18-24","participants",15699
"mid-year","hunt","Age",2014,"18-24","participants",15206
"mid-year","hunt","Age",2015,"18-24","participants",15440
"mid-year","hunt","Age",2009,"25-34","participants",27196
"mid-year","hunt","Age",2010,"25-34","participants",25950
"mid-year","hunt","Age",2011,"25-34","participants",25085
"mid-year","hunt","Age",2012,"25-34","participants",25033
"mid-year","hunt","Age",2013,"25-34","participants",24794
"mid-year","hunt","Age",2014,"25-34","participants",24093
"mid-year","hunt","Age",2015,"25-34","participants",24603
"mid-year","hunt","Age",2009,"35-44","participants",40135
"mid-year","hunt","Age",2010,"35-44","participants",35864
"mid-year","hunt","Age",2011,"35-44","participants",32527
"mid-year","hunt","Age",2012,"35-44","participants",31063
"mid-year","hunt","Age",2013,"35-44","participants",29716
"mid-year","hunt","Age",2014,"35-44","participants",27208
"mid-year","hunt","Age",2015,"35-44","participants",26925
"mid-year","hunt","Age",2009,"45-54","participants",50460
"mid-year","hunt","Age",2010,"45-54","participants",47197
"mid-year","hunt","Age",2011,"45-54","participants",44755
"mid-year","hunt","Age",2012,"45-54","participants",43737
