timeframe,group,segment,year,category,metric,value,state
mid-year,hunt,all,2010,all,participants,57459,GA
mid-year,hunt,all,2011,all,participants,59378,GA
mid-year,hunt,all,2012,all,participants,60166,GA
mid-year,hunt,all,2013,all,participants,59784,GA
mid-year,hunt,all,2014,all,participants,62347,GA
mid-year,hunt,all,2015,all,participants,67161,GA
mid-year,hunt,all,2016,all,participants,70323,GA
mid-year,hunt,residency,2010,resident,participants,41062,GA
mid-year,hunt,residency,2011,resident,participants,43298,GA
mid-year,hunt,residency,2012,resident,participants,43711,GA
mid-year,hunt,residency,2013,resident,participants,44360,GA
mid-year,hunt,residency,2014,resident,participants,46218,GA
mid-year,hunt,residency,2015,resident,participants,49773,GA
mid-year,hunt,residency,2016,resident,participants,52808,GA
mid-year,hunt,residency,2010,nonresident,participants,16397,GA
mid-year,hunt,residency,2011,nonresident,participants,16080,GA
mid-year,hunt,residency,2012,nonresident,participants,16455,GA
mid-year,hunt,residency,2013,nonresident,participants,15424,GA
mid-year,hunt,residency,2014,nonresident,participants,16129,GA
mid-year,hunt,residency,2015,nonresident,participants,17388,GA
mid-year,hunt,residency,2016,nonresident,participants,17515,GA
mid-year,hunt,gender,2010,male,participants,51808,GA
mid-year,hunt,gender,2011,male,participants,53538,GA
mid-year,hunt,gender,2012,male,participants,53793,GA
mid-year,hunt,gender,2013,male,participants,53471,GA
mid-year,hunt,gender,2014,male,participants,55666,GA
mid-year,hunt,gender,2015,male,participants,59555,GA
mid-year,hunt,gender,2016,male,participants,62161,GA
mid-year,hunt,gender,2010,female,participants,5651,GA
mid-year,hunt,gender,2011,female,participants,5840,GA
mid-year,hunt,gender,2012,female,participants,6373,GA
mid-year,hunt,gender,2013,female,participants,6313,GA
mid-year,hunt,gender,2014,female,participants,6681,GA
mid-year,hunt,gender,2015,female,participants,7606,GA
mid-year,hunt,gender,2016,female,participants,8162,GA
mid-year,hunt,age,2010,18-24,participants,5852,GA
mid-year,hunt,age,2011,18-24,participants,6245,GA
mid-year,hunt,age,2012,18-24,participants,6577,GA
mid-year,hunt,age,2013,18-24,participants,7057,GA
mid-year,hunt,age,2014,18-24,participants,7273,GA
mid-year,hunt,age,2015,18-24,participants,7676,GA
mid-year,hunt,age,2016,18-24,participants,8495,GA
mid-year,hunt,age,2010,25-34,participants,11307,GA
mid-year,hunt,age,2011,25-34,participants,11990,GA
mid-year,hunt,age,2012,25-34,participants,12436,GA
mid-year,hunt,age,2013,25-34,participants,12605,GA
mid-year,hunt,age,2014,25-34,participants,13019,GA
mid-year,hunt,age,2015,25-34,participants,14111,GA
mid-year,hunt,age,2016,25-34,participants,14754,GA
mid-year,hunt,age,2010,35-44,participants,13460,GA
mid-year,hunt,age,2011,35-44,participants,13723,GA
mid-year,hunt,age,2012,35-44,participants,13871,GA
mid-year,hunt,age,2013,35-44,participants,13482,GA
mid-year,hunt,age,2014,35-44,participants,14015,GA
mid-year,hunt,age,2015,35-44,participants,14739,GA
